id_municipio,numero_obitos,numero_suicidios,populacao
1100015,84,3,25437
1100023,196,3,107345
1100031,23,0,6224
1100049,190,3,88507
1100056,62,1,17934
1100064,59,2,18467
1100072,29,0,8659
1100080,49,0,17400
1100098,85,2,33030
1100106,129,1,47451
1100114,138,3,55871
1100122,273,4,132667
1100130,84,2,38609
1100148,57,1,21747
1100155,132,3,39759
1100189,102,4,38051
1100205,529,9,519436
1100254,82,1,22124
1100262,9,0,3829
1100288,106,2,57074
1100296,33,0,8198
1100304,197,3,95630
1100320,66,1,24181
1100338,83,1,28891
1100346,58,0,16747
1100379,38,1,14045
1100403,52,1,20916
1100452,87,1,39044
1100502,35,1,10051
1100601,18,1,6460
1100700,35,1,14484
1100809,89,1,25266
1100908,16,0,3550
1100924,27,1,10593
1100940,44,1,22443
1101005,32,1,9745
1101104,33,0,10310
1101203,29,0,10751
1101302,50,1,12258
1101401,42,1,16186
1101435,24,0,7769
1101450,12,0,5904
1101468,4,0,2410
1101476,12,0,3411
1101484,22,0,5994
1101492,60,1,19694
1101500,49,0,12653
1101559,22,1,4931
1101609,25,1,11350
1101708,47,1,13106
1101757,35,0,11149
1101807,30,0,8047
1200013,43,0,14366
1200054,26,0,6986
1200104,78,0,24765
1200138,31,1,9664
1200179,29,0,11136
1200203,149,5,82622
1200252,52,1,17340
1200302,94,4,32360
1200328,11,0,7858
1200336,55,1,17910
1200344,35,1,8886
1200351,28,0,17897
1200385,56,0,18510
1200393,18,0,11353
1200401,346,5,383443
1200427,34,0,17945
1200435,17,0,6230
1200450,64,0,21552
1200500,85,2,43139
1200609,96,3,40024
1200708,57,2,18174
1200807,50,1,17459
1300029,30,1,15908
1300060,36,2,11242
1300086,27,0,12978
1300102,38,0,20196
1300144,45,2,21406
1300201,39,3,19054
1300300,68,0,38454
1300409,68,2,27743
1300508,70,1,31542
1300607,84,4,41329
1300631,35,0,18978
1300680,42,1,18483
1300706,68,1,34176
1300805,77,0,40464
1300839,19,0,12820
1300904,31,0,15490
1301001,88,2,28337
1301100,64,0,37399
1301159,23,0,29190
1301209,139,2,84762
1301308,63,0,27817
1301407,92,4,34888
1301506,47,1,19492
1301605,57,1,19669
1301654,28,0,16339
1301704,96,1,53383
1301803,39,1,28299
1301852,109,1,47407
1301902,185,3,99854
1301951,23,2,8128
1302009,30,0,9125
1302108,14,1,4205
1302207,26,1,13956
1302306,44,1,15824
1302405,78,2,44861
1302504,184,1,96460
1302553,31,0,30222
1302603,927,13,2130264
1302702,85,0,54708
1302801,32,0,18531
1302900,72,2,62212
1303007,50,0,20902
1303106,75,1,36431
1303205,50,0,18586
1303304,39,0,25112
1303403,169,1,113832
1303502,38,0,19597
1303536,60,1,34574
1303569,66,0,32001
1303601,41,1,23765
1303700,50,1,23075
1303809,142,4,44553
1303908,66,1,38047
1303957,20,0,13421
1304005,19,0,9211
1304062,116,2,63635
1304104,56,1,17930
